City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Hilo,US,19.7297,-155.09,79.29,85,100,5.75,overcast clouds
1,Tasiilaq,GL,65.6145,-37.6368,17.76,61,93,3.27,overcast clouds
2,Tuatapere,NZ,-46.1333,167.6833,57.63,99,90,2.84,light rain
3,Jambi,ID,-1.6,103.6167,86.99,63,94,3.29,overcast clouds
4,Rikitea,PF,-23.1203,-134.9692,73.31,79,87,9.42,light rain
5,Ushuaia,AR,-54.8,-68.3,49.66,71,75,2.3,broken clouds
6,Albany,US,42.6001,-73.9662,35.67,90,100,1.99,snow
7,Bilma,NE,18.6853,12.9164,67.82,19,100,7.99,overcast clouds
8,Padang,ID,-0.9492,100.3543,84.51,64,63,4.14,broken clouds
9,Vaini,TO,-21.2,-175.2,82.56,78,20,16.11,light rain
10,Yellowknife,CA,62.456,-114.3525,-1.44,84,100,8.05,overcast clouds
11,Kapaa,US,22.0752,-159.319,79.12,78,40,9.22,light rain
12,Longyearbyen,SJ,78.2186,15.6401,6.64,66,75,5.75,broken clouds
13,Mataura,NZ,-46.1927,168.8643,61.18,98,99,3.42,overcast clouds
14,Fukue,JP,32.6881,128.8419,50.36,87,75,10.36,broken clouds
15,Hithadhoo,MV,-0.6,73.0833,81.12,72,88,10.6,overcast clouds
16,Hermanus,ZA,-34.4187,19.2345,70.81,90,98,7.34,overcast clouds
17,Atuona,PF,-9.8,-139.0333,78.35,79,16,17.72,few clouds
18,Faanui,PF,-16.4833,-151.75,80.38,79,100,16.78,overcast clouds
19,Honningsvag,NO,70.9821,25.9704,31.75,69,100,14.97,light snow
20,Barrow,US,71.2906,-156.7887,3.22,78,100,23.02,light snow
21,Aklavik,CA,68.2191,-135.0107,-5.55,86,75,11.14,broken clouds
22,Pasni,PK,25.2631,63.471,69.85,30,0,16.53,clear sky
23,Butaritari,KI,3.0707,172.7902,81.61,74,50,6.29,scattered clouds
24,Constitucion,CL,-35.3333,-72.4167,60.37,64,0,11.83,clear sky
25,Bethel,US,41.3712,-73.414,40.77,86,100,12.66,moderate rain
26,Novovelichkovskaya,RU,45.2778,38.8436,49.1,96,100,6.82,overcast clouds
27,Mount Isa,AU,-20.7333,139.5,94.77,10,0,9.22,clear sky
28,Upernavik,GL,72.7868,-56.1549,19.94,92,100,17.0,snow
29,Hanstholm,DK,57.1167,8.6167,30.58,71,3,7.23,clear sky
30,Gra Liyia,GR,35.0167,25.6833,61.12,90,10,3.62,clear sky
31,Cabo San Lucas,MX,22.8909,-109.9124,68.5,71,65,5.73,broken clouds
32,Zapolyarnyy,RU,69.4154,30.8136,11.48,97,100,4.38,light snow
33,Kodiak,US,57.79,-152.4072,36.91,93,100,4.61,mist
34,Kirakira,SB,-10.4544,161.9205,84.43,70,24,4.88,few clouds
35,Nago,JP,26.5881,127.9761,67.05,94,100,17.74,light rain
36,Sibolga,ID,1.7427,98.7792,84.87,65,86,4.36,overcast clouds
37,Lewiston,US,44.1003,-70.2148,34.39,85,100,9.22,overcast clouds
38,Port Alfred,ZA,-33.5906,26.891,68.18,98,20,1.01,few clouds
39,Port-Cartier,CA,50.0334,-66.8654,26.28,87,37,8.14,scattered clouds
40,Kaili,ID,-3.4626,120.2147,76.51,79,100,2.51,overcast clouds
41,Busselton,AU,-33.65,115.3333,78.26,37,0,6.93,clear sky
42,Narasannapeta,IN,18.4167,84.05,80.01,66,10,2.46,clear sky
43,Wanaka,NZ,-44.7,169.15,64.11,78,69,5.99,broken clouds
44,Bluff,NZ,-46.6,168.3333,56.53,93,96,7.45,light rain
45,Jhinjhak,IN,26.5667,79.7333,62.92,31,36,4.76,scattered clouds
46,Arraial Do Cabo,BR,-22.9661,-42.0278,71.56,78,0,9.22,clear sky
47,Batagay,RU,67.6333,134.6333,-54.53,99,83,0.67,broken clouds
48,Batagay-Alyta,RU,67.8006,130.4114,-33.09,96,13,4.59,few clouds
49,Innisfail,AU,-17.5333,146.0333,88.29,63,10,11.77,clear sky
50,Baiyin,CN,36.5583,104.2081,15.96,48,100,8.99,overcast clouds
51,Chalmette,US,29.9427,-89.9634,55.4,67,0,1.99,clear sky
52,Mattru,SL,7.6244,-11.8332,73.42,95,3,2.17,clear sky
53,Cherskiy,RU,68.75,161.3,-19.12,91,100,3.18,overcast clouds
54,Thompson,CA,55.7435,-97.8558,15.96,86,100,12.66,light snow
55,Ponta Do Sol,PT,32.6667,-17.1,61.72,81,52,13.4,broken clouds
56,Ayorou,NE,14.7308,0.9174,69.62,14,91,8.81,overcast clouds
57,Kindu,CD,-2.95,25.95,67.84,99,100,2.28,light rain
58,Shenkursk,RU,62.1091,42.896,19.99,94,100,10.13,light snow
59,Avarua,CK,-21.2078,-159.775,77.05,94,100,14.97,moderate rain
60,Buala,SB,-8.145,159.5921,83.64,74,50,2.66,light rain
61,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,76.14,86,100,1.57,overcast clouds
62,Lisakovsk,KZ,52.5369,62.4936,-2.88,93,99,2.46,overcast clouds
63,Lebu,CL,-37.6167,-73.65,57.47,85,0,20.94,clear sky
64,Souillac,MU,-20.5167,57.5167,77.38,69,40,11.5,scattered clouds
65,Ballina,AU,-28.8667,153.5667,80.02,57,69,11.25,broken clouds
66,Punta Arenas,CL,-53.15,-70.9167,55.51,67,75,17.27,broken clouds
67,San Patricio,US,28.017,-97.5169,66.04,58,2,7.11,clear sky
68,Tuktoyaktuk,CA,69.4541,-133.0374,-11.2,84,0,9.22,clear sky
69,Kahului,US,20.8947,-156.47,78.82,69,20,6.91,few clouds
70,Hami,CN,42.8,93.45,21.11,36,0,3.29,clear sky
71,New Norfolk,AU,-42.7826,147.0587,59.92,63,100,1.99,overcast clouds
72,Hobart,AU,-42.8794,147.3294,60.26,77,75,16.11,broken clouds
73,Sao Felix Do Xingu,BR,-6.6447,-51.995,71.94,90,27,0.38,scattered clouds
74,Pimenta Bueno,BR,-11.6725,-61.1936,71.69,98,95,2.42,overcast clouds
75,Castro,BR,-24.7911,-50.0119,56.3,80,1,2.75,clear sky
76,Esperance,AU,-33.8667,121.9,67.39,56,49,21.54,scattered clouds
77,Mapiri,BO,-15.25,-68.1667,67.53,99,100,1.43,overcast clouds
78,Little Current,CA,45.9793,-81.9248,36.41,97,100,5.01,overcast clouds
79,Osoyoos,CA,49.0331,-119.4524,25.56,80,62,8.05,broken clouds
80,Susuman,RU,62.7833,148.1667,-20.4,98,99,4.88,overcast clouds
81,Cape Town,ZA,-33.9258,18.4232,73.38,82,0,5.75,clear sky
82,Bambous Virieux,MU,-20.3428,57.7575,78.22,69,40,11.5,scattered clouds
83,Biak,ID,-0.9131,122.8766,82.99,71,71,2.19,broken clouds
84,Provideniya,RU,64.3833,-173.3,12.31,79,75,6.71,broken clouds
85,Ostersund,SE,63.1792,14.6357,16.25,100,77,3.44,broken clouds
86,Ribeira Grande,PT,38.5167,-28.7,62.78,95,100,13.0,light rain
87,Council Bluffs,US,41.2619,-95.8608,25.56,75,100,20.71,overcast clouds
88,Macaubas,BR,-13.0194,-42.6986,65.3,96,100,0.58,moderate rain
89,Slave Lake,CA,55.2834,-114.769,17.58,86,100,6.91,overcast clouds
90,Mareeba,AU,-17.0,145.4333,96.44,52,4,7.25,clear sky
91,Tura,IN,25.5198,90.2201,71.38,53,10,0.76,clear sky
92,Haines Junction,CA,60.7522,-137.5108,24.75,58,100,13.8,light snow
93,Saskylakh,RU,71.9167,114.0833,-37.41,100,73,2.93,broken clouds
94,Manaure,CO,11.7751,-72.4445,78.91,78,22,15.57,few clouds
95,Puerto Ayora,EC,-0.7393,-90.3518,70.56,96,48,4.65,scattered clouds
96,Ormara,PK,25.2088,64.6357,73.27,26,0,6.24,clear sky
97,Krasnoselkup,RU,65.7,82.4667,4.51,81,100,19.91,overcast clouds
98,Bodaybo,RU,57.8506,114.1933,-9.72,93,100,3.31,overcast clouds
99,Vardo,NO,70.3705,31.1107,33.78,75,75,27.63,broken clouds
100,Cidreira,BR,-30.1811,-50.2056,69.87,90,50,3.04,scattered clouds
101,Camapua,BR,-19.5314,-54.0439,72.12,86,20,3.04,few clouds
102,Severo-Kurilsk,RU,50.6789,156.125,27.18,70,83,12.3,light snow
103,Christchurch,NZ,-43.5333,172.6333,80.8,50,100,4.61,overcast clouds
104,Ardalstangen,NO,61.2371,7.6983,10.4,94,91,5.17,overcast clouds
105,Iqaluit,CA,63.7506,-68.5145,17.33,86,100,3.44,overcast clouds
106,Zhezkazgan,KZ,47.8043,67.7144,12.18,79,100,11.18,overcast clouds
107,Chokurdakh,RU,70.6333,147.9167,-40.18,100,54,5.01,broken clouds
108,Port Blair,IN,11.6667,92.75,82.44,65,40,8.05,scattered clouds
109,Bengkulu,ID,-3.8004,102.2655,84.72,63,72,7.07,broken clouds
110,Bar Harbor,US,44.3876,-68.2039,34.27,80,100,14.97,overcast clouds
111,Tupik,RU,54.4253,119.9327,-15.97,86,100,2.73,overcast clouds
112,Chatra,IN,24.2167,84.8667,65.93,32,25,6.96,scattered clouds
113,Hualmay,PE,-11.0964,-77.6139,69.46,86,100,6.78,overcast clouds
114,Port Elizabeth,ZA,-33.918,25.5701,68.29,99,100,5.75,fog
115,San Jose De Guanipa,VE,8.8872,-64.1651,72.7,86,46,11.21,scattered clouds
116,Geraldton,AU,-28.7667,114.6,91.81,18,0,16.11,clear sky
117,San Pedro,PH,14.35,121.0167,88.36,69,75,9.22,broken clouds
118,Camana,PE,-16.6228,-72.7111,70.38,83,98,4.12,overcast clouds
119,Yining,CN,29.0361,114.5636,51.71,53,98,6.91,overcast clouds
120,Katsuura,JP,35.1333,140.3,54.77,50,1,6.96,clear sky
121,Mar Del Plata,AR,-38.0023,-57.5575,61.09,72,75,11.5,broken clouds
122,Nador,MA,35.174,-2.9287,53.85,76,0,3.44,clear sky
123,Portland,US,45.5234,-122.6762,40.08,74,20,10.0,few clouds
124,Tiksi,RU,71.6872,128.8694,-27.98,100,99,2.3,overcast clouds
125,Husavik,IS,66.0449,-17.3389,15.08,81,100,4.18,light snow
126,Nikolskoye,RU,59.7035,30.7861,15.69,98,93,3.62,overcast clouds
127,San Jose,US,37.3394,-121.895,49.26,77,40,1.99,scattered clouds
128,Grimshaw,CA,56.1834,-117.6027,15.42,92,100,4.61,overcast clouds
129,Ginda,IN,30.6945,78.4932,60.42,13,0,2.44,clear sky
130,Grand Gaube,MU,-20.0064,57.6608,78.39,67,98,8.99,overcast clouds
131,Lasa,IT,46.6166,10.7002,39.38,98,100,2.46,overcast clouds
132,Jamestown,US,42.097,-79.2353,37.71,75,100,8.05,light rain
133,Ogawara,JP,38.0516,140.7155,40.78,68,70,11.3,broken clouds
134,Wagga Wagga,AU,-35.1167,147.3667,73.85,25,1,6.49,clear sky
135,Ponta Delgada,PT,37.7333,-25.6667,61.52,72,75,8.05,broken clouds
136,Ancud,CL,-41.8697,-73.8203,49.21,85,55,4.56,broken clouds
137,Sao Filipe,CV,14.8961,-24.4956,76.87,69,0,10.92,clear sky
138,Pangnirtung,CA,66.1451,-65.7125,4.86,95,99,6.11,overcast clouds
139,Temir,KZ,49.1414,57.13,11.62,82,27,6.8,scattered clouds
140,Vredendal,ZA,-31.6683,18.5012,68.58,87,11,6.42,light rain
141,Sterling,US,39.0062,-77.4286,44.98,93,100,13.0,mist
142,Ustka,PL,54.5805,16.8619,22.64,89,71,5.59,broken clouds
143,Kokopo,PG,-4.352,152.2633,82.67,78,89,6.44,moderate rain
144,Pontianak,ID,-0.0333,109.3333,80.58,83,75,3.44,broken clouds
145,Shingu,JP,33.7333,135.9833,54.23,48,39,11.1,scattered clouds
146,Chapleau,CA,47.8405,-83.4034,28.89,93,100,11.05,overcast clouds
147,Salalah,OM,17.0151,54.0924,73.49,49,0,8.05,clear sky
148,Okhotsk,RU,59.3833,143.3,2.86,69,97,28.52,overcast clouds
149,Quelimane,MZ,-17.8786,36.8883,73.35,88,75,0.0,broken clouds
150,Kumluca,TR,36.3703,30.2869,61.63,77,50,6.53,scattered clouds
151,Klaksvik,FO,62.2266,-6.589,29.32,52,100,7.92,overcast clouds
152,Sao Joao Da Barra,BR,-21.6403,-41.0511,72.25,79,91,5.66,overcast clouds
153,Kiunga,PG,-6.1219,141.2906,95.27,43,44,1.61,scattered clouds
154,Saint-Joseph,RE,-21.3667,55.6167,79.18,82,55,9.62,light rain
155,Yerbogachen,RU,61.2767,108.0108,-6.02,98,100,5.44,overcast clouds
156,Sept-Iles,CA,50.2001,-66.3821,26.6,69,75,5.75,broken clouds
157,Kavieng,PG,-2.5744,150.7967,83.48,70,89,6.38,overcast clouds
158,Verkhnyaya Toyma,RU,62.2349,44.9985,18.55,89,100,10.0,overcast clouds
159,Qui Nhon,VN,13.7667,109.2333,75.99,83,99,14.23,overcast clouds
160,Bardiyah,LY,31.7561,25.0865,65.62,54,0,8.57,clear sky
161,Carnarvon,AU,-24.8667,113.6333,81.1,56,0,12.95,clear sky
162,Chuy,UY,-33.6971,-53.4616,58.5,69,0,10.36,clear sky
163,Pak Phanang,TH,8.3511,100.202,87.82,77,89,12.91,overcast clouds
164,Shimanovsk,RU,52.0,127.7,-8.81,80,49,10.09,scattered clouds
165,Serebryanyy Bor,RU,56.8,124.8,-18.67,94,100,9.15,overcast clouds
166,Ajdabiya,LY,30.7554,20.2263,65.34,48,0,8.97,clear sky
167,Wawa,NG,9.9022,4.4192,72.27,28,100,4.81,overcast clouds
168,Njombe,TZ,-9.3333,34.7667,57.45,95,99,1.77,overcast clouds
169,Cuambog,PH,7.3086,125.8481,84.24,65,100,3.53,light rain
170,Chibuto,MZ,-24.6867,33.5306,76.21,82,98,2.89,light rain
171,Pandan,PH,14.0453,124.1694,82.53,80,100,11.52,overcast clouds
172,Vanavara,RU,60.34,102.2797,0.0,95,100,6.76,overcast clouds
173,Great Falls,US,47.5002,-111.3008,22.68,83,100,10.36,overcast clouds
174,Dvinskoy,RU,62.1535,45.1175,18.46,88,100,9.95,overcast clouds
175,Khani,GE,41.9563,42.9566,45.97,80,100,1.21,overcast clouds
176,Tarakan,ID,3.3,117.6333,85.5,74,75,8.05,broken clouds
177,Luderitz,NA,-26.6481,15.1594,65.75,90,94,8.81,overcast clouds
178,Kavaratti,IN,10.5669,72.642,81.79,69,0,8.05,clear sky
179,Voh,NC,-20.9667,164.7,82.92,66,90,4.38,overcast clouds
180,Lavrentiya,RU,65.5833,-171.0,-2.16,84,38,3.96,scattered clouds
181,Grindavik,IS,63.8424,-22.4338,21.67,68,20,17.27,few clouds
182,San Quintin,MX,30.4833,-115.95,58.17,57,100,5.66,overcast clouds
183,Piacabucu,BR,-10.4056,-36.4344,77.43,84,100,10.47,overcast clouds
184,Alamosa,US,37.4695,-105.87,19.38,86,100,9.22,overcast clouds
185,Port Hedland,AU,-20.3167,118.5667,96.85,41,0,18.41,clear sky
186,Viedma,AR,-40.8135,-62.9967,56.01,68,3,9.01,clear sky
187,Half Moon Bay,US,37.4636,-122.4286,51.31,77,0,8.05,clear sky
188,Ekibastuz,KZ,51.6667,75.3667,-6.56,84,2,6.17,clear sky
189,Vestnes,NO,62.6264,7.0884,31.84,80,100,9.22,snow
190,Vila Velha,BR,-20.3297,-40.2925,71.55,92,0,2.3,clear sky
191,Umm Lajj,SA,25.0213,37.2685,72.99,35,0,12.17,clear sky
192,Sibu,MY,2.3,111.8167,77.31,88,40,5.01,scattered clouds
193,Victoria,HK,22.2855,114.1577,66.25,91,100,7.43,overcast clouds
194,Catalina,US,32.5056,-110.9211,42.91,69,92,1.01,overcast clouds
195,Fairbanks,US,64.8378,-147.7164,7.14,79,100,4.61,light snow
196,Khatanga,RU,71.9667,102.5,-12.23,90,100,9.62,overcast clouds
197,Nahan,IN,30.55,77.3,60.53,27,0,2.42,clear sky
198,Kulunda,RU,52.566,78.9385,-8.9,88,9,8.28,clear sky
199,Port Lincoln,AU,-34.7333,135.8667,63.66,57,53,16.42,broken clouds
200,Livingstonia,MW,-10.606,34.1063,64.09,81,92,2.19,overcast clouds
201,Vao,NC,-22.6667,167.4833,77.56,64,1,9.64,clear sky
202,La Ronge,CA,55.1001,-105.2842,-1.95,84,0,10.36,clear sky
203,Constancia,MX,24.2231,-107.1869,58.19,66,32,6.4,scattered clouds
204,Channel-Port Aux Basques,CA,47.5702,-59.1367,35.87,73,85,20.56,overcast clouds
205,Kisesa,TZ,-3.0833,34.15,62.44,88,72,4.81,light rain
206,Assai,BR,-23.3733,-50.8414,73.26,73,77,1.52,broken clouds
207,Mercedes,AR,-34.6515,-59.4307,65.79,60,0,8.05,clear sky
208,Sitka,US,57.0531,-135.33,42.69,87,100,8.05,light rain
209,Nara,JP,34.6851,135.8049,53.96,48,21,10.33,few clouds
210,Namibe,AO,-15.1961,12.1522,67.62,83,65,4.7,broken clouds
211,Komsomolskiy,UZ,40.4272,71.7189,32.72,80,2,4.61,mist
212,Samarai,PG,-10.6167,150.6667,84.78,72,99,8.03,overcast clouds
213,Jiblah,YE,13.9216,44.1467,54.68,67,54,2.48,broken clouds
214,Alghero,IT,40.5589,8.3181,60.89,88,40,16.11,scattered clouds
215,Wajima,JP,37.4,136.9,38.08,100,75,5.75,light shower sleet
216,Dunedin,NZ,-45.8742,170.5036,61.81,98,100,3.87,overcast clouds
217,Luoyang,CN,34.6836,112.4536,35.76,22,100,4.97,overcast clouds
218,Talnakh,RU,69.4865,88.3972,2.21,90,100,14.27,overcast clouds
219,Ust-Kuyga,RU,70.0167,135.6,-52.24,100,95,2.57,overcast clouds
220,Axim,GH,4.8699,-2.2405,77.63,86,96,5.48,light rain
221,San Juan Del Sur,NI,11.2529,-85.8705,78.13,84,30,18.28,scattered clouds
222,Miandrivazo,MG,-19.5167,45.4667,80.1,69,82,2.17,broken clouds
223,Ternate,ID,0.8,127.4,84.63,70,84,7.74,broken clouds
224,Beloha,MG,-25.1667,45.05,74.68,79,100,5.95,overcast clouds
225,Caravelas,BR,-17.7125,-39.2481,67.68,97,100,2.71,moderate rain
226,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,69.57,40,2,5.61,clear sky
227,North Bend,US,43.4065,-124.2243,40.06,93,0,3.44,clear sky
228,Mopti,ML,14.6667,-4.0,60.84,59,0,2.3,clear sky
229,Meadow Lake,US,34.8014,-106.5436,34.29,49,30,8.7,scattered clouds
230,Ostrovnoy,RU,68.0531,39.5131,15.87,89,88,27.42,overcast clouds
231,Yenagoa,NG,4.9247,6.2642,75.4,91,23,3.78,few clouds
232,Zharkent,KZ,44.1628,80.0,19.6,72,2,2.04,clear sky
233,Bogotol,RU,56.2078,89.5342,-7.6,96,33,3.96,scattered clouds
234,Bredasdorp,ZA,-34.5322,20.0403,68.7,95,100,7.74,overcast clouds
235,Mitsamiouli,KM,-11.3847,43.2844,77.29,78,20,2.3,few clouds
236,Camabatela,AO,-8.1881,15.375,60.19,98,99,0.18,light rain
237,Hovd,MN,48.0056,91.6419,1.58,58,2,0.89,clear sky
238,Kalmunai,LK,7.4167,81.8167,81.12,72,33,10.89,scattered clouds
239,Bathsheba,BB,13.2167,-59.5167,80.06,90,40,18.41,light rain
240,Carballo,ES,43.213,-8.691,52.86,93,97,4.56,overcast clouds
241,Mount Gambier,AU,-37.8333,140.7667,60.85,63,95,12.73,overcast clouds
242,Taoudenni,ML,22.6783,-3.9836,71.29,37,0,10.92,clear sky
243,Aksu,CN,41.1231,80.2644,23.79,50,0,4.38,clear sky
244,Saint Anthony,US,45.0205,-93.218,33.24,94,100,6.91,mist
245,Naze,JP,28.3667,129.4833,61.72,82,100,16.87,light rain
246,Kidal,ML,18.4411,1.4078,68.65,20,0,8.99,clear sky
